"gene_id","gene_symbol","logFC.Early_vs_Thin","logFC.Early_vs_Mature","logFC.Thin_vs_Mature","logCPM","PValue","FDR","F"
"YOR357C","SNX3",-0.251233717528428,-0.683431463347304,-0.432197745818876,1.9565666311299,0.00822798163820572,0.014362905039123,7.4209414779072
"YPL001W","HAT1",0.890851512448499,0.329445600514013,-0.561405911934486,1.30961992993555,0.00825030400778086,0.0143969222513784,7.41647039197612
"YIR014W","VLD1",-0.665309064285479,0.418735740640263,1.08404480492574,1.80087815705617,0.00827296509500561,0.0144315069572101,7.40891990153457
"YMR178W","FPY1",0.430907381541883,0.524116721699112,0.093209340157229,4.01383753776311,0.00828317977873473,0.0144443636388788,7.40502670942517
"YGL056C","SDS23",-0.222209504823714,-0.580388696982405,-0.35817919215869,2.84700634541897,0.00829365138173792,0.0144576593602695,7.40239994068635
"YKL183W","LOT5",-0.480660767177241,0.500277622196219,0.98093838937346,2.24182030058616,0.00830344297892193,0.0144697609632689,7.40008586694121
"YPL015C","HST2",0.654326364396312,-0.0168809059131226,-0.671207270309434,2.82246235134687,0.00831169408608504,0.0144791706926723,7.39753386083237
"YJL062W","COA3",0.840435185416246,-0.0462934988985545,-0.8867286843148,2.49747183887874,0.00833053332115598,0.0145070124159225,7.392638977225
"YLR150W","STM1",-0.300005195201064,-0.652567662939115,-0.35256246773805,4.85348108709268,0.008345517254169,0.0145281236258725,7.38799934585357
"YKL151C","NNR2",0.54664639981423,0.474574433271577,-0.0720719665426528,5.23669993211994,0.00835618357944484,0.0145417067225569,7.38511617443296
"YJR013W","GPI14",0.604905257838811,0.345582021913691,-0.259323235925119,2.31687066673987,0.00837007036839208,0.0145565985561189,7.38199057945861
"YDR083W","RRP8",-1.02029844165569,-0.441104329792657,0.579194111863031,2.73260131635991,0.00837047415987933,0.0145565985561189,7.38163866498695
"YMR063W","RIM9",1.78541688037713,0.957492915639563,-0.827923964737566,0.484943430727974,0.00839786735208032,0.0145979010835528,7.39406896124016
"YCL014W","BUD3",0.545514330003462,0.620084332137337,0.074570002133875,3.21448588591987,0.0083999738019183,0.0145979010835528,7.37356871159331
"YPL268W","PLC1",0.555966444211512,0.419542600413689,-0.136423843797823,3.23701588388011,0.00840382409634536,0.014599595881369,7.37253281572993
"YNCG0013W","SNR10",1.50110613743045,0.223436296736175,-1.27766984069428,7.04255657215426,0.00841175163157511,0.0146083703095549,7.3701739320547
"YDL190C","UFD2",0.643680198127482,0.446039094918858,-0.197641103208624,3.68478992792847,0.00842205367596497,0.0146212610483932,7.36758253402181
"YGR207C","CIR1",-0.573154425020325,-0.632395978006835,-0.0592415529865099,3.37785769841539,0.00842896360064864,0.0146282560369425,7.36577960898402
"YHR133C","NSG1",0.0369088469086768,-0.550084403776344,-0.586993250685021,2.22330097857035,0.00846250964898841,0.0146814567808552,7.35727783065799
"YNR006W","VPS27",-0.593951656316711,-0.133634886456339,0.460316769860373,3.43197489979235,0.00846712033524861,0.0146844388874291,7.35556629108425
"YDR205W","MSC2",0.933719887475413,0.263991110933857,-0.669728776541556,2.74984171691131,0.00847175356312704,0.0146874580380878,7.35459555393395
"YDL207W","GLE1",0.447710837448511,0.718196840217815,0.270486002769305,3.57820223837829,0.00849116886782498,0.0147102205098636,7.34919264504534
"YAL010C","MDM10",0.404011955951108,-0.608540570967989,-1.0125525269191,1.19643339737792,0.00849247797129516,0.0147102205098636,7.35173729322026
"YDR075W","PPH3",-0.0425718786063757,-0.829616813024334,-0.787044934417958,1.59620734462595,0.00849357355945649,0.0147102205098636,7.34995144617541
"YHR182W","RGD3",0.842679163467425,0.454509258929611,-0.388169904537814,1.86454752236445,0.00854523857283659,0.0147946544401174,7.33590147185537
"YLR289W","GUF1",-0.316822929534173,0.626874954325233,0.943697883859405,3.0161385036623,0.00854916050950911,0.0147963998184347,7.33402455950589
"YOR035C","SHE4",0.875149509084505,0.517402674362643,-0.357746834721861,3.60581579272843,0.0086109723967692,0.0148983024977152,7.31772044564909
"YLR386W","VAC14",0.801483392577552,0.703406604304689,-0.0980767882728629,2.94941788402327,0.00865839112410846,0.0149752418692857,7.30554107105962
