"gene_id","gene_symbol","logFC","logCPM","PValue","FDR","F"
"YPL003W","ULA1",0.341499447669899,3.19385672033279,0.0598193726971007,0.0988167776694462,4.33650614256909
"YGR177C","ATF2",0.568294082431461,0.222549968001649,0.0598534177458563,0.0988408635165719,4.3389434433048
"YLR363C","NMD4",0.523881551174788,1.11818415703514,0.0602173596752921,0.0994095424028392,4.3220071636275
"YDR335W","MSN5",-0.273343062214557,4.96865101139795,0.0602943409131807,0.0995042779191198,4.31777090105573
"YDR140W","MTQ2",0.313172777252631,2.44914117637217,0.0605461250801365,0.0998873369580679,4.30808071573961
"YNR056C","BIO5",0.512153092164586,1.44129193529056,0.0605929901466472,0.0999321870622522,4.30661217697917
"YBR283C","SSH1",-0.339434503850903,4.17310437129201,0.0607994813960217,0.100240183937986,4.29812575713443
"YPR117W","HOB2",0.283171225238842,5.22257427597486,0.0608218871073693,0.100244577322694,4.29723714117994
"YJR116W","TDA4",0.339866304109289,2.73843749626231,0.0609713104917688,0.10045824616392,4.29155998790149
"YKR044W","UIP5",0.34622034370336,2.06183446415182,0.0614475703062531,0.101210107692233,4.27340804268019
"YNL265C","IST1",-0.363787240882022,2.94047120171577,0.0614871421388624,0.101242447399852,4.2717237343589
"YPL059W","GRX5",-0.383701310756548,3.19968154974348,0.0618120647343228,0.101744461822007,4.25934351635712
"YOL102C","TPT1",0.444925166900072,1.41081767190756,0.0618827179330402,0.101805787679075,4.25709580721433
"YIL039W","TED1",0.408817073914394,3.02834063457944,0.0618894183862356,0.101805787679075,4.25642604721375
"YPR021C","AGC1",0.364178540830232,3.35652293660419,0.0619212385256246,0.101825145477047,4.25519646873053
"YHR195W","NVJ1",0.250561032888242,3.35261768279626,0.0619602319913167,0.101830006198635,4.2537012159266
"YNCG0015C","SNR39B",-0.616453176249013,1.59672967936252,0.0619643007392248,0.101830006198635,4.25390536484366
"YNL025C","SSN8",0.395699715054892,1.35439701542425,0.0619965514014297,0.101850044651071,4.25294816498985
"YNL076W","MKS1",0.372040666444483,2.75940737547558,0.0620285384327628,0.101869637180326,4.25116722534936
"YIL010W","DOT5",-0.521161001605305,1.83686884277326,0.0620631919358122,0.101881196274124,4.25005169950093
"YDL103C","QRI1",-0.328128786403629,2.23175892111422,0.0620757032832098,0.101881196274124,4.24945462882289
"YGR077C","PEX8",0.330346499554641,2.25756570490239,0.062220594734023,0.1020860032502,4.24399678155154
"YJR068W","RFC2",0.300086541372255,2.94550282160422,0.0622501235623884,0.102101462354589,4.24278728923264
