SRR10551657_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551658_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551659_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551660_trimmed_Aligned.sortedByCoord.out.bam	SRR10551661_trimmed_Aligned.sortedByCoord.out.bam	SRR10551662_trimmed_Aligned.sortedByCoord.out.bam	SRR10551663_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551664_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551665_1_trimmed_Aligned.sortedByCoord.out.bam
YJL087C	45	21	28	107	72	44	63	77	89
YJL085W	42	22	34	91	96	20	55	81	79
YJL084C	218	152	164	171	160	76	322	316	348
YJL083W	40	27	27	52	46	37	73	89	88
YJL082W	100	95	98	117	108	87	268	297	272
YJL081C	108	70	72	132	111	48	93	113	104
YJL080C	154	84	82	247	130	164	104	131	103
YJL079C	292	164	254	226	277	141	830	787	658
YJL078C	54	46	66	123	103	97	170	175	177
YJL077W-B	11	4	7	8	3	8	10	7	10
YJL077C	86	82	78	17	31	18	37	30	44
YJL077W-A	41	28	37	4	13	5	21	17	16
YJL076W	281	187	161	121	161	54	155	189	190
YJL075C	75	60	50	14	36	4	30	28	28
YJL074C	144	100	100	421	397	99	81	109	114
YJL073W	129	93	113	261	281	91	82	118	104
YJL072C	14	7	6	39	23	27	26	43	21
YJL071W	54	35	33	157	146	81	53	70	70
YJL070C	102	75	84	104	93	44	143	125	118
YJL069C	38	32	24	106	75	45	46	52	47
YJL068C	81	65	81	90	81	61	74	97	84
YJL066C	280	201	282	238	311	98	207	216	222
YJL065C	39	29	32	36	41	21	22	27	19
YJL063C	155	117	109	141	133	77	63	63	66
YJL062W-A	188	125	139	186	136	97	74	91	53
YJL062W	46	37	37	120	71	78	84	103	73
YJL061W	58	35	44	140	73	48	46	58	74
YJL060W	237	181	171	246	178	151	122	115	104
YJL059W	18	22	24	52	47	24	38	27	38
YJL058C	22	13	11	30	19	11	30	40	32
YJL057C	132	90	96	188	143	73	136	172	157
YJL056C	32	29	16	65	51	23	102	101	108
YJL055W	344	218	250	290	288	165	256	279	318
YJL054W	116	79	82	197	182	111	115	142	124
YJL053W	71	55	65	164	137	81	131	135	157
YJL052C-A	0	0	0	1	2	2	1	1	0
YJL052W	1423	987	1125	7904	10014	4430	47059	50691	41362
YJL051W	50	38	20	81	64	36	46	142	42
YJL050W	187	90	105	271	229	121	225	325	245
YJL049W	80	62	39	74	129	10	45	47	55
YJL048C	81	62	79	194	157	161	392	441	413
YJL047C-A	86	57	48	92	58	141	144	92	120
YNCJ0009C	95	63	54	88	56	142	144	91	120
YJL047C	75	44	35	124	97	57	98	113	108
YJL046W	31	17	19	93	75	31	48	39	47
YNCJ0010W	2	5	1	2	0	0	3	1	2
YNCJ0011W	2	3	1	2	1	1	1	1	1
YNCJ0012W	1	3	0	1	3	1	3	0	0
YJL045W	122	93	110	40	37	36	27	22	32
YJL044C	72	48	40	85	74	32	64	69	86
YJL043W	5	4	3	1	1	3	7	8	8
YJL042W	329	248	267	283	288	163	362	379	433
YJL041W	159	109	119	107	121	35	81	112	120
YJL039C	104	51	61	269	126	161	190	210	174
YNCJ0013C	2	4	2	1	0	2	2	0	1
YNCJ0014C	2	3	1	2	1	2	1	1	1
YJL038C	15	14	4	8	5	1	6	8	6
YJL037W	19	4	13	11	12	6	6	6	5
YNCJ0015W	1	0	0	0	1	0	0	1	0
YJL036W	147	90	122	144	147	41	98	119	111
YJL035C	73	68	92	156	267	80	45	55	58
YJL034W	2912	2139	2715	3536	4082	1873	624	667	612
YJL033W	147	93	99	196	197	70	86	121	138
YJL031C	106	74	71	154	175	41	42	76	61
YJL030W	46	28	26	96	74	31	19	42	28
YJL029C	113	76	76	78	84	55	63	85	95
YNCJ0016C	1	1	2	0	1	3	1	0	1
YJL028W	2	3	2	1	2	0	4	1	1
YJL027C	3	3	5	6	5	3	2	2	1
YJL026W	695	475	531	561	426	457	604	733	599
YJL025W	14	18	9	34	32	22	32	42	40
YJL024C	27	21	23	55	50	16	21	23	24
YNCJ0017C	1	1	1	0	1	0	0	0	2
YJL023C	41	30	29	68	55	16	47	50	55
YJL020C	1142	843	993	270	466	111	267	319	287
YJL019W	35	22	20	37	33	26	40	38	39
YJL016W	197	118	128	392	293	192	470	605	499
YJL014W	292	201	256	452	288	293	202	306	243
YJL013C	53	29	22	48	51	13	53	80	79
YJL012C	92	44	62	253	138	202	179	230	195
YJL011C	17	8	6	51	38	15	9	9	15
YNCJ0018W	0	0	0	1	0	0	0	0	0
YNCJ0019C	4	2	7	3	5	14	6	7	7
YJL010C	43	31	31	96	78	29	51	65	67
YJL008C	143	95	102	343	202	222	150	178	182
YJL007C	4	3	5	3	3	6	5	1	7
YNCJ0020W	1	1	2	0	2	6	2	0	1
YJL006C	46	40	35	67	57	25	40	52	51
YNCJ0021C	4	9	4	5	0	2	5	3	6
YJL005W	527	368	404	564	389	279	789	894	889
YJL004C	46	18	26	107	61	62	46	61	65
YJL003W	64	44	48	117	86	22	45	57	45
YJL002C	211	110	162	382	217	226	222	255	238
YJL001W	466	360	408	630	431	292	270	333	315
YJR001W	148	98	115	121	110	70	160	208	145
YJR002W	91	45	52	195	123	62	93	111	141
YJR003C	56	33	31	56	41	22	70	84	82
YJR004C	29	26	19	38	45	19	69	75	82
YJR005W	111	90	95	185	126	70	118	143	155
YJR005C-A	26	21	19	7	6	1	1	4	2
YJR006W	54	35	40	91	89	37	43	59	54
YJR007W	98	48	49	92	53	38	45	53	46
YJR008W	83	68	92	144	140	84	139	158	158
YJR009C	2575	1612	1897	4421	4397	2549	11704	12643	10461
YJR010W	381	301	340	179	135	114	51	66	42
YJR010C-A	64	28	35	92	62	48	44	71	60
YJR011C	29	16	12	50	52	18	51	68	71
YJR012C	46	21	21	33	31	10	34	47	47
YJR013W	57	36	40	86	81	36	69	83	91
YJR014W	221	133	166	144	220	74	58	76	63
YJR015W	53	37	45	204	128	136	155	174	164
YJR016C	549	368	395	652	357	420	536	528	470
YJR017C	52	36	35	32	29	25	29	33	27
YJR019C	22	27	37	65	68	51	133	141	112
YJR021C	21	19	16	42	38	14	24	27	19
YJR022W	20	13	13	10	43	2	9	13	15
YJR024C	21	14	11	57	58	53	58	64	65
YJR025C	49	38	33	38	37	21	39	52	58
YJR027W	2	2	0	1	2	1	3	0	0
YJR026W	0	1	0	0	0	0	0	0	0
YJR029W	2	2	0	3	2	1	1	1	0
YJR028W	0	1	0	2	0	1	0	1	0
YJR030C	20	21	12	120	69	72	30	49	47
YJR031C	63	47	43	199	94	100	131	136	146
YJR032W	52	36	37	88	73	34	42	48	53
YJR033C	87	57	64	94	71	72	157	164	175
YJR034W	172	113	102	128	139	58	41	56	56
YJR035W	127	85	87	183	152	54	178	206	193
YJR036C	53	53	40	37	43	22	95	131	114
YJR039W	133	123	134	75	67	38	169	210	184
YJR040W	55	41	41	94	69	38	43	45	61
YJR041C	35	24	27	155	54	74	75	86	121
YJR042W	46	33	22	162	83	93	87	105	95
YJR043C	33	19	19	38	54	9	12	14	19
YNCJ0022C	1	0	1	0	0	1	0	0	0
YJR044C	94	55	46	174	128	88	86	112	94
YJR045C	1952	1375	1600	2060	2178	1004	734	782	850
YJR046W	78	55	64	99	115	44	35	56	45
YNCJ0023C	16	22	37	8	10	10	10	4	4
YJR047C	88	62	74	11	19	9	39	31	28
YJR048W	782	476	562	1287	1170	585	346	438	448
YJR049C	132	59	83	83	81	36	102	136	129
YJR050W	68	60	70	121	132	34	50	64	73
YJR051W	156	100	115	252	158	141	233	303	280
YNCJ0024W	0	1	0	3	0	0	0	2	1
YJR052W	147	115	144	148	163	76	121	137	128
YJR053W	34	22	28	44	36	23	32	40	40
YJR054W	44	29	39	85	64	32	47	49	41
YNCJ0025W	2	2	0	1	1	0	1	0	0
YJR055W	29	24	13	79	43	28	22	21	21
YNCJ0026W	1	5	3	1	3	2	1	0	0
YJR056C	42	35	49	55	70	20	34	46	37
YNCJ0027C	3	4	7	2	0	2	0	1	1
YJR057W	36	24	25	66	62	38	44	47	56
YJR058C	80	54	64	79	77	38	88	86	81
YJR059W	946	623	821	176	472	104	381	445	432
YJR060W	49	32	26	35	46	30	51	57	56
YJR061W	176	118	129	457	345	251	347	418	453
YJR062C	29	15	15	54	37	46	48	49	58
YJR063W	43	25	25	73	55	44	23	33	37
YJR064W	121	99	110	302	185	175	126	172	128
YJR065C	138	91	108	161	94	99	104	108	112
YJR066W	224	173	188	409	258	222	744	799	768
YJR067C	28	15	20	28	39	19	13	21	31
YJR068W	85	67	76	152	118	52	97	123	135
YJR069C	23	20	27	39	24	26	32	40	32
YJR070C	114	76	51	94	81	37	62	58	68
YJR072C	231	163	200	171	182	66	67	96	112
YJR073C	186	122	150	297	271	170	180	204	183
YJR074W	60	41	48	181	139	114	147	155	137
YJR075W	124	84	75	191	151	101	172	193	207
YJR076C	196	167	171	204	170	82	129	147	149
YJR077C	1114	652	814	2806	1611	1712	919	990	840
YJR078W	32	18	17	42	30	31	71	82	74
YJR079W	65	35	37	86	83	37	49	40	48
YJR080C	245	176	153	369	315	147	122	139	163
YJR082C	61	28	24	90	92	31	50	56	73
YJR083C	66	31	46	56	57	16	31	54	58
YJR084W	57	33	37	90	62	36	45	70	59
YJR085C	566	458	489	456	437	226	248	247	267
YJR086W	60	34	19	41	56	7	15	16	13
YJR088C	63	38	48	143	121	40	51	81	90
YJR089W	131	70	98	172	185	32	137	164	167
YJR090C	168	123	136	199	159	89	203	200	240
YJR091C	244	161	173	255	206	143	385	425	426
YJR092W	94	69	64	58	60	34	22	22	23
YJR093C	48	19	27	67	59	21	48	53	52
YJR094C	97	64	62	13	14	3	22	20	19
YNCJ0028C	170	119	122	80	73	35	31	30	29
YJR094W-A	311	205	236	475	315	209	66	60	93
YJR095W	233	154	171	199	276	98	13	16	8
YJR096W	807	621	701	693	710	413	1340	1780	1669
YJR097W	24	11	10	59	52	17	17	15	9
YJR098C	58	45	48	108	71	39	75	102	97
YJR099W	25	10	13	46	30	14	26	32	25
YJR100C	75	40	59	95	105	36	73	95	88
YNCJ0029W	1	1	1	1	1	2	0	0	3
YJR101W	193	110	140	263	211	124	79	106	94
YJR102C	43	25	21	57	48	19	37	35	45
YJR103W	219	172	180	163	148	140	281	319	250
YJR104C	1159	737	840	2003	1686	1366	1353	1587	1471
YJR105W	183	111	124	598	330	356	466	488	451
YJR106W	31	13	9	50	33	31	57	78	64
YJR107W	27	32	38	62	56	32	74	86	96
YJR107C-A	15	16	11	23	22	6	19	22	30
YJR108W	2	3	1	8	8	4	9	9	12
YJR109C	312	190	210	644	480	414	327	358	312
YJR110W	123	64	62	143	133	54	131	162	134
YJR111C	75	73	88	55	50	22	21	23	19
YJR112W	127	55	63	51	70	25	12	12	11
YJR112W-A	66	40	45	35	42	31	25	47	43
YJR113C	174	107	122	99	103	64	66	81	51
YJR115W	58	49	48	15	45	21	25	37	34
YJR116W	98	48	90	89	84	48	101	108	100
YJR117W	518	316	349	479	381	269	232	251	228
YJR118C	100	74	68	120	111	49	61	53	62
YJR119C	42	22	20	104	76	54	99	100	119
YJR120W	655	512	719	263	218	137	83	89	72
YJR121W	6882	4716	5339	6571	5505	3564	2275	2481	2227
YJR122W	96	81	90	202	176	107	58	77	80
YJR123W	748	420	439	1454	1003	644	509	607	516
YJR124C	13	6	14	44	36	24	33	28	35
YJR125C	131	79	92	140	117	72	117	150	118
YJR126C	129	104	107	223	134	118	276	317	305
YJR127C	513	391	474	299	287	148	536	506	504
YJR128W	0	2	0	3	1	2	4	1	0
YNCJ0030W	220	168	174	441	632	789	435	376	444
YJR129C	28	13	12	17	22	16	27	25	38
YJR130C	138	113	89	205	158	101	91	117	130
YJR131W	38	25	26	46	51	36	38	40	47
YJR132W	41	36	25	69	42	59	98	117	102
YJR133W	89	61	67	215	163	120	123	171	149
YJR134C	302	183	187	123	231	26	102	91	139
YJR135C	14	8	4	17	11	9	8	12	10
YJR135W-A	148	117	132	165	139	74	43	58	57
YJR136C	18	19	23	58	40	29	38	42	54
YJR137C	1154	807	961	825	578	680	377	323	312
YJR138W	226	156	188	245	217	97	537	627	652
YJR139C	636	405	477	752	521	534	427	432	417
YJR140C	66	61	67	186	133	85	161	174	163
YJR141W	22	26	21	46	59	23	26	35	32
YJR142W	85	34	52	80	70	28	62	70	64
YJR143C	175	91	118	528	220	348	224	252	232
YJR144W	160	89	111	236	205	99	80	90	96
YJR145C	529	312	290	1371	768	773	520	568	572
YJR146W	1	2	0	2	1	0	5	5	0
YJR147W	10	6	5	7	10	5	20	13	20
YJR148W	31	31	38	37	32	26	96	105	114
YJR149W	91	45	54	212	158	116	94	135	138
YJR150C	1	1	3	0	1	0	16	15	14
YJR151C	85	66	106	105	108	62	467	394	344
YJR151W-A	3	1	0	0	0	0	1	1	0
YJR152W	329	187	208	2071	1687	1074	2717	2952	3270
YJR153W	5	8	4	11	11	5	14	24	9
YJR154W	12	10	18	33	22	23	20	19	19
YJR155W	68	38	43	948	579	710	140	154	157
YJR156C	25	13	14	77	51	64	44	42	40
YJR158W	163	139	156	454	376	273	35	46	49
YJR159W	158	127	171	39	72	28	40	54	45
YJR160C	32	26	23	24	34	18	28	24	29
YJR161C	580	440	484	1339	1019	845	1234	1444	1371
YKL224C	10	9	11	3	5	0	1	1	4
YKL222C	206	137	148	93	143	49	150	131	135
YKL221W	43	42	28	68	45	37	32	40	40
YKL220C	24	16	23	33	28	33	15	19	25
YKL219W	12	8	14	36	35	27	29	47	58
YKL218C	29	22	18	92	55	59	77	95	79
YKL217W	385	253	284	315	287	227	86	97	85
YKL216W	71	41	23	166	92	72	54	61	62
YKL215C	58	31	44	108	74	87	181	200	205
YKL214C	65	55	59	80	75	43	79	98	86
YKL213C	200	150	155	255	165	154	219	251	219
YKL212W	100	63	65	340	227	200	217	261	204
YKL211C	141	84	114	146	95	91	80	81	99
YNCK0001W	27	17	18	24	18	21	18	17	12
YKL210W	584	386	382	854	494	490	619	660	593
YKL209C	41	36	27	104	63	43	50	64	59
YNCK0002C	0	1	1	1	2	0	1	0	0
YKL208W	20	12	10	37	33	28	30	36	38
YKL207W	121	88	99	163	153	134	140	139	127
YKL206C	81	58	69	93	91	60	29	50	43
YKL205W	51	30	57	164	122	80	73	92	85
YKL204W	221	161	184	76	97	24	64	69	67
YKL203C	159	108	115	261	195	169	357	431	357
YKL201C	1129	1025	1183	377	931	193	677	811	870
YKL198C	40	20	31	20	30	33	50	58	44
YKL197C	30	26	27	68	47	41	136	140	139
YNCK0003W	6	2	2	0	3	1	3	1	5
YKL196C	108	71	76	265	188	115	99	131	134
YKL195W	1946	1366	1583	677	929	137	225	297	338
YKL194C	67	52	39	91	72	43	59	58	61
YKL193C	229	159	191	200	180	42	175	172	210
YKL192C	600	358	387	639	563	405	290	344	289
YKL191W	61	33	37	128	93	84	74	94	89
YKL190W	71	40	52	117	104	45	84	103	89
YNCK0004W	4	8	5	4	0	2	5	3	3
YKL189W	49	37	27	59	72	30	47	76	79
YKL188C	80	51	62	57	82	24	96	101	122
YKL187C	10	5	15	24	32	30	22	26	23
YKL186C	162	98	98	98	175	53	60	66	83
YKL185W	266	204	217	198	217	68	82	82	80
YKL184W	22	22	23	63	51	57	54	47	46
YKL183C-A	14	8	9	3	10	3	8	4	6
YKL183W	83	58	71	47	75	18	50	76	58
YKL182W	698	415	467	4523	2517	3402	3176	3433	3454
YKL181W	82	50	62	251	163	195	257	311	309
YKL180W	467	271	282	1016	686	474	365	385	369
YKL179C	220	140	131	139	158	34	77	105	117
YKL178C	33	12	17	15	7	4	9	10	9
YKL176C	114	60	75	312	173	207	334	348	316
YKL175W	224	131	160	294	223	214	330	408	350
YKL174C	79	47	64	200	163	123	129	155	133
YKL173W	68	42	46	109	82	63	77	86	112
YKL172W	277	184	188	215	330	43	64	107	116
YKL171W	119	95	83	166	114	129	259	306	273
YKL170W	117	74	112	198	181	76	57	58	64
YKL168C	82	48	40	81	93	36	115	134	146
YKL167C	77	59	41	130	133	41	46	80	67
YKL166C	42	25	35	58	80	33	41	43	54
YKL165C	96	52	68	390	338	273	45	64	52
YNCK0005C	1	2	1	0	0	1	0	0	0
YKL164C	1377	933	1103	336	298	191	132	144	153
YKL163W	1805	1226	1519	886	625	674	658	638	712
YKL162C	42	20	32	79	45	30	70	78	62
YKL161C	13	9	10	24	28	26	26	26	37
YKL160W	519	357	407	346	371	99	96	120	153
YKL159C	32	17	27	31	27	21	13	13	18
YKL157W	314	158	182	791	418	484	847	896	848
YKL156W	328	177	180	633	489	187	185	222	270
YKL155C	151	97	91	186	214	67	104	107	114
YKL154W	91	51	55	95	95	28	24	42	37
YNCK0006C	9	3	5	1	2	4	2	0	1
YKL152C	1140	782	929	2100	2569	1117	4601	5469	4779
YKL151C	457	286	356	516	576	327	630	709	579
YKL150W	1763	1277	1443	1775	1679	763	1423	1951	1897
YKL149C	41	17	30	51	33	19	46	62	45
YKL148C	2192	1534	1851	1239	1245	614	586	587	478
YKL146W	381	232	290	229	242	198	325	314	269
YKL145W	535	307	391	641	379	297	343	420	523
YKL144C	50	32	33	57	45	19	19	31	30
YKL143W	81	59	51	111	99	29	79	75	86
YKL142W	1060	740	825	540	641	215	375	467	446
YKL141W	1461	987	1065	2042	1716	1296	1230	1431	1389
YKL140W	239	177	196	214	204	77	162	176	198
YKL139W	64	33	35	66	75	9	32	43	48
YKL138C-A	10	13	12	44	26	6	9	18	8
YKL138C	229	146	153	82	122	18	20	22	30
YKL137W	148	83	106	133	148	32	35	44	47
YKL135C	158	110	115	243	184	107	175	239	175
YKL134C	66	52	63	203	123	98	77	90	105
YKL133C	89	43	59	96	90	41	60	63	60
YKL132C	54	39	42	37	53	29	45	50	41
YKL130C	26	22	29	68	64	30	35	51	45
YKL129C	420	273	345	144	197	64	215	318	283
YKL128C	29	22	19	92	62	37	40	34	38
YNCK0007W	1	1	0	0	1	0	0	0	0
YKL127W	40	32	40	118	67	60	44	36	29
YKL126W	168	137	143	336	202	243	224	265	263
YKL125W	104	97	87	173	123	104	129	170	175
YKL124W	222	144	135	262	292	109	200	225	223
YKL122C	273	161	166	112	175	21	27	44	60
YKL121W	94	55	60	97	76	54	147	141	148
YKL120W	54	25	40	201	122	117	119	123	150
YKL119C	66	41	43	85	74	20	30	43	56
YNCK0008W	0	0	0	0	0	0	0	1	0
YKL117W	561	414	539	626	551	180	189	216	241
YKL116C	38	41	32	69	50	54	53	60	47
YKL114C	135	84	117	93	106	38	54	38	58
YKL113C	86	60	62	119	103	48	50	65	74
YKL112W	194	154	122	176	155	60	158	171	176
YKL110C	129	97	92	206	278	81	93	111	120
YKL109W	2252	1418	1641	1665	2154	451	1033	1234	1182
YKL108W	68	51	50	60	48	16	42	52	59
YKL107W	66	34	54	21	14	16	40	49	34
YKL106C-A	6	3	1	1	2	1	1	5	3
YKL106W	43	27	21	155	96	67	91	92	97
YKL105C	184	132	126	103	199	41	160	209	184
YKL104C	174	112	132	298	155	241	177	206	176
YKL104W-A	18	15	9	37	21	37	19	28	24
YKL103C	1036	721	773	318	595	160	301	314	405
YKL102C	6	7	4	3	4	2	0	2	1
YKL101W	392	249	249	332	356	138	92	128	135
YKL100C	377	278	248	222	149	130	269	277	254
YKL099C	60	28	35	86	68	22	36	40	60
YKL098W	24	24	27	56	34	46	59	67	58
YKL097C	3	4	6	0	2	0	1	3	0
YKL096C-B	258	117	150	133	135	79	227	264	242
YKL096W-A	8105	4079	4203	3373	2932	1970	6925	7850	7109
YKL096W	190	124	148	25	43	23	86	107	88
YKL095W	48	31	24	95	68	27	77	92	95
YKL094W	288	252	267	408	389	173	335	409	409
YKL093W	80	60	88	83	53	39	75	88	67
YKL092C	95	56	71	150	136	45	94	115	107
YKL091C	229	162	187	61	85	36	128	127	130
YKL090W	29	28	23	49	41	16	41	45	49
YKL089W	99	77	78	116	156	38	38	41	54
YKL088W	130	101	121	137	172	43	103	120	146
YKL087C	399	261	315	373	371	242	215	254	246
YKL086W	18	13	21	11	8	6	8	9	16
YKL085W	4918	3815	4828	1683	2278	703	1148	1248	1259
YKL084W	21	9	16	23	19	12	23	25	35
YKL082C	438	332	380	193	690	27	93	133	150
YKL081W	144	74	88	329	241	171	76	79	70
YNCK0009W	7	6	6	9	8	10	5	5	7
YKL080W	248	151	170	404	273	209	308	335	347
YKL079W	171	134	122	149	122	41	127	153	154
YKL078W	20	17	16	33	22	23	22	32	35
YKL077W	172	91	108	430	227	187	242	264	292
YKL075C	97	77	89	159	174	49	107	96	122
YKL074C	124	87	117	177	244	69	61	85	73
YKL073W	534	363	436	542	685	220	141	160	193
YKL072W	35	30	41	68	68	30	79	99	117
YNCK0010W	5	3	3	3	4	12	7	6	10
YKL071W	94	51	36	1637	830	1032	130	130	110
YKL070W	23	12	15	105	77	75	132	118	132
YKL069W	44	43	39	86	82	28	53	50	50
YNCK0011C	0	2	4	0	1	0	0	1	0
YKL068W-A	148	94	107	59	64	38	34	38	29
YKL068W	79	52	53	135	117	46	72	125	109
YNCK0012C	23	17	25	15	6	8	10	2	11
YKL067W	505	348	430	568	619	299	407	465	442
YKL065W-A	61	60	55	8	13	6	16	32	23
YKL065C	499	438	433	340	330	123	144	168	195
YKL064W	581	459	517	388	403	210	527	572	584
YKL063C	271	195	248	83	185	14	30	55	61
YKL062W	380	247	284	572	437	286	805	989	992
YKL061W	53	43	39	38	59	13	26	18	26
YKL060C	4098	2630	2798	9991	9830	5880	17613	20923	18134
YKL059C	56	45	42	72	68	41	76	99	94
YKL058W	41	33	36	97	91	63	60	68	62
YKL057C	76	67	52	279	150	138	99	116	107
YKL056C	620	483	500	1009	560	667	504	564	494
YKL055C	12	7	7	29	16	31	22	32	34
YKL054C	2313	1630	1836	596	936	113	306	359	448
YKL053C-A	233	186	206	243	274	100	92	107	136
YKL052C	40	32	28	26	25	20	34	20	32
YKL051W	34	22	29	49	44	24	71	61	65
YKL050C	116	59	75	88	94	29	134	121	140
YKL049C	64	28	37	65	64	14	37	53	51
YKL048C	59	46	34	199	156	83	129	173	133
YKL047W	37	36	30	69	67	34	74	64	65
YKL046C	225	131	156	313	280	182	210	251	218
YKL045W	51	31	18	93	68	69	90	90	80
YKL044W	33	28	16	29	14	15	35	28	37
YKL043W	581	383	407	240	265	110	445	527	542
YKL042W	70	39	44	71	61	15	24	24	24
YKL041W	115	85	86	131	164	45	66	84	77
YKL040C	87	63	52	217	144	122	47	85	95
YKL039W	116	83	79	204	105	128	139	139	130
YNCK0013W	58	41	43	116	134	152	92	76	90
YKL038W	305	197	222	197	264	162	483	522	441
YKL037W	16	5	7	10	10	10	2	6	4
YKL035W	723	499	599	504	442	343	870	903	918
YKL034W	111	68	88	135	103	110	178	202	192
YKL033W-A	127	93	116	194	155	139	146	155	145
YKL033W	39	16	18	76	49	62	92	86	108
YNCK0014W	1	2	2	0	1	0	0	1	0
YKL032C	438	324	363	83	136	55	107	132	120
YKL029C	56	22	63	75	67	59	47	41	57
YKL028W	213	129	141	167	226	60	153	161	166
YKL027W	35	24	40	139	87	86	78	86	81
YKL026C	534	400	542	167	284	55	147	249	219
YKL025C	115	87	93	147	150	54	106	131	140
YKL024C	66	46	54	86	89	50	67	79	74
YKL023C-A	6	3	5	18	12	15	20	15	21
YKL023W	368	270	353	126	307	45	122	155	173
YKL022C	132	97	129	129	96	56	105	104	123
YKL021C	61	28	24	85	72	22	43	41	51
YKL020C	325	241	242	406	309	206	423	427	441
YKL019W	43	23	47	100	92	53	92	113	87
YKL018C-A	66	42	50	86	103	35	51	63	62
YKL018W	26	18	11	44	35	31	31	30	24
YKL017C	114	81	73	66	89	22	44	50	46
YKL016C	2001	1383	1468	2209	2364	985	508	623	629
YKL015W	119	85	82	128	112	53	103	112	104
YKL014C	57	34	38	153	111	53	75	111	95
YKL013C	183	130	118	272	227	163	182	169	151
YKL012W	203	135	154	189	195	45	145	163	187
YKL011C	30	19	16	14	24	9	21	25	23
YKL010C	411	302	344	553	308	325	562	618	590
YKL009W	238	164	161	427	361	92	51	51	73
YKL008C	88	66	78	157	112	118	259	247	264
YKL007W	148	98	123	158	144	67	93	98	131
YKL006C-A	94	65	75	97	119	29	40	50	69
YNCK0015C	11	2	5	7	7	7	4	4	6
YKL006W	615	372	374	1010	670	561	319	351	383
YKL005C	596	388	440	424	402	174	386	509	467
YKL004W	111	88	100	122	97	85	115	125	90
YKL003C	129	104	120	135	152	39	51	64	84
YKL002W	503	355	353	307	390	130	275	307	343
YKL001C	478	420	485	202	226	113	46	50	52
YKR001C	274	195	163	500	318	224	303	329	360
YKR002W	167	120	124	142	156	74	141	189	153
YKR003W	73	41	52	144	87	64	48	68	54
YKR004C	19	33	24	31	35	8	37	24	29
YKR005C	28	24	13	76	48	26	58	51	53
YKR006C	139	87	82	183	188	74	92	95	122
YKR007W	73	56	51	76	97	30	50	51	58
YKR008W	169	126	120	268	190	55	106	155	149
YKR009C	100	83	98	58	55	31	253	310	307
YNCK0016W	11	7	4	4	2	2	3	0	2
YKR010C	91	65	60	110	101	34	50	70	81
YKR011C	769	665	690	228	298	82	91	106	124
YKR013W	265	173	208	235	119	123	50	55	40
YKR014C	206	142	173	286	299	84	85	116	132
YKR015C	238	177	192	79	153	27	42	57	55
YKR016W	983	658	722	810	978	181	227	306	324
YKR017C	24	21	23	64	41	31	61	69	50
YKR018C	234	187	216	382	215	285	517	578	508
YKR019C	25	16	17	38	29	19	68	65	71
YKR020W	30	13	10	49	60	8	28	25	37
YKR021W	116	55	75	140	138	93	236	326	273
YKR022C	43	38	51	101	83	14	43	48	63
YKR023W	188	126	125	141	257	26	74	94	105
YKR024C	67	37	28	76	64	33	46	56	78
YKR025W	57	23	24	68	83	29	52	52	74
YKR026C	17	12	10	58	35	26	32	37	25
YNCK0017W	10	15	9	10	6	9	5	2	4
YKR027W	31	17	26	94	39	60	59	78	63
YKR028W	133	79	89	231	186	123	214	214	235
YKR029C	109	79	78	144	129	27	66	96	107
YKR030W	16	10	16	39	29	23	27	21	21
YKR031C	186	150	151	341	290	102	596	762	779
YKR032W	0	0	1	2	1	1	1	0	0
YKR034W	182	84	86	257	250	95	821	1002	1034
YKR035W-A	339	244	252	309	365	100	134	177	221
YKR036C	42	27	27	51	47	27	50	50	53
YKR037C	34	28	23	75	48	36	51	40	40
YKR038C	100	62	66	134	144	80	121	146	129
YNCK0018C	1	0	0	1	0	0	0	0	0
YKR039W	1031	573	551	3092	2960	1356	4044	4324	4147
YNCK0019W	2	0	5	0	0	0	0	2	0
YKR041W	25	9	15	3	6	4	2	2	2
YKR042W	545	364	429	363	567	300	353	323	302
YKR043C	86	66	56	181	120	132	142	152	134
YKR044W	42	20	32	73	76	49	60	63	64
YKR045C	21	9	12	20	25	10	11	14	11
YKR046C	872	461	582	1072	884	650	1423	1543	1442
YKR048C	206	147	202	250	236	176	221	253	209
YKR049C	505	322	421	316	406	195	275	374	398
YKR050W	28	27	29	16	29	18	30	27	47
YKR051W	80	53	58	64	73	37	76	84	93
YKR052C	33	22	16	87	95	71	47	51	66
YKR053C	68	35	52	78	79	37	60	47	55
YKR054C	350	268	295	500	385	249	574	680	636
YKR055W	41	32	23	64	37	26	63	64	67
YKR056W	78	55	59	157	100	87	90	111	119
YKR057W	260	149	167	500	312	229	147	183	193
YKR058W	412	351	478	66	115	26	113	173	181
YKR059W	1034	681	689	2273	1293	1260	1237	1414	1275
YKR060W	23	12	13	55	46	30	36	25	37
YKR061W	114	86	110	219	212	172	53	82	86
YNCK0020C	131	130	173	227	207	325	234	209	265
YKR062W	92	45	48	117	98	77	131	147	129
YKR063C	112	67	69	147	164	70	123	156	149
YKR064W	118	56	54	216	165	72	126	164	146
YKR065C	140	94	107	151	137	98	85	74	83
