SRR10551657_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551658_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551659_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551660_trimmed_Aligned.sortedByCoord.out.bam	SRR10551661_trimmed_Aligned.sortedByCoord.out.bam	SRR10551662_trimmed_Aligned.sortedByCoord.out.bam	SRR10551663_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551664_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551665_1_trimmed_Aligned.sortedByCoord.out.bam
YBL057C	71	55	77	76	74	52	55	38	47
YBL056W	163	107	122	305	183	169	260	330	267
YBL055C	31	26	23	81	58	37	57	94	69
YBL054W	21	14	15	57	39	28	56	44	55
YBL052C	118	88	99	97	156	19	74	84	98
YBL051C	332	195	269	314	332	117	382	424	429
YBL050W	238	175	195	340	364	160	268	372	348
YBL049W	136	72	84	199	152	121	851	1053	966
YBL048W	167	94	139	82	104	61	512	564	518
YBL047C	536	397	464	401	435	234	470	568	602
YBL046W	49	26	42	53	50	25	78	77	79
YBL045C	1816	1240	1352	1587	1510	788	881	987	1025
YBL044W	2	0	2	1	0	0	1	0	2
YBL043W	224	162	153	313	328	120	95	96	66
YBL042C	79	48	38	153	93	73	132	141	131
YBL041W	838	646	785	685	565	304	279	381	374
YBL040C	136	102	125	216	238	104	73	93	93
YBL039W-B	129	112	88	67	67	24	35	43	51
YBL039C	41	24	16	137	44	62	56	59	64
YBL038W	368	247	264	317	378	102	107	142	141
YBL037W	31	22	26	63	37	35	55	53	51
YBL036C	94	74	82	221	198	90	103	157	166
YBL035C	48	30	29	49	60	35	30	48	40
YBL034C	93	74	52	168	136	71	109	123	130
YBL033C	286	200	240	299	413	146	165	183	177
YBL032W	87	81	65	68	76	29	55	54	43
YBL031W	9	13	10	17	11	5	2	6	5
YBL030C	960	613	739	1099	1128	639	386	393	418
YBL029C-A	262	171	171	123	203	53	143	207	195
YBL029W	534	328	358	415	571	105	564	713	828
YBL028C	137	93	91	138	161	33	39	35	57
YBL027W	688	417	437	1715	1257	742	664	813	782
YBL026W	92	58	63	111	103	23	34	56	76
YBL025W	18	4	8	41	28	22	24	33	23
YBL024W	139	75	74	184	141	76	75	87	93
YBL023C	33	23	32	86	53	58	53	51	57
YBL022C	625	421	517	423	391	187	387	438	487
YBL021C	56	48	49	106	117	58	30	45	39
YBL020W	129	97	82	282	212	153	157	169	150
YBL019W	23	29	28	78	57	31	108	119	120
YBL018C	67	41	30	97	72	41	36	55	49
YBL017C	438	307	320	745	487	431	592	680	634
YBL016W	52	29	30	48	49	26	32	26	32
YBL015W	836	576	716	528	644	281	178	170	153
